...1,2010 CS Code,2010 County Set Name,2010 County Set Description,FIPS State Code,FIPS County Code,2010 County Population,2010 Total CS Population
141,08CS005,Central Colorado,Chaffee,08,015,17809,63699
,"","",Gunnison,08,051,15324,
,"","",Lake,08,065,7310,
,"","",Pitkin,08,097,17148,
,"","",Saguache,08,109,6108,
,"","","","","",,
142,08CS006,Custer+Fremont,Custer,08,027,4255,51079
,"","",Fremont,08,043,46824,
,"","","","","",,
143,08CS007,Delta+Montrose,Delta,08,029,30952,72228
,"","",Montrose,08,085,41276,
,"","","","","",,
144,08CS008,Denver,Denver,08,031,600158,600158
,"","","","","",,
145,08CS009,Douglas,Douglas,08,035,285465,285465
,"","","","","",,
,"","","","","",,
146,08CS010,Eagle,Eagle,08,037,52197,52197
,"","","","","",,
147,08CS011,East Central Colorado,Elbert,08,039,23086,51680
,"","",Kit Carson,08,063,8270,
,"","",Lincoln,08,073,5467,
,"","",Washington,08,121,4814,
,"","",Yuma,08,125,10043,
,"","","","","",,
148,08CS012,El Paso,El Paso,08,041,622263,622263
,"","","","","",,
149,08CS013,Garfield,Garfield,08,045,56389,56389
,"","","","","",,
150,08CS014,Jefferson,Jefferson,08,059,534543,534543
,"","","","","",,
151,08CS015,La Plata+Montezuma,La Plata,08,067,51334,76869
,"","",Montezuma,08,083,25535,
,"","","","","",,
152,08CS016,Larimer,Larimer,08,069,299630,299630
,"","","","","",,
153,08CS017,Logan+Morgan+Phillips+Sedgwick,Logan,08,075,22709,57689
,"","",Morgan,08,087,28159,
,"","",Phillips,08,095,4442,
,"","",Sedgwick,08,115,2379,
,"","","","","",,
154,08CS018,Mesa,Mesa,08,077,146723,146723
,"","","","","",,
155,08CS019,Northwest Colorado,Grand,08,049,14843,60207
,"","",Jackson,08,057,1394,
,"","",Moffat,08,081,13795,
,"","",Rio Blanco,08,103,6666,
,"","",Routt,08,107,23509,
,"","","","","",,
156,08CS020,Park and Nearby Counties,Clear Creek,08,019,9088,82079
,"","",Gilpin,08,047,5441,
,"","",Park,08,093,16206,
,"","",Summit,08,117,27994,
,"","",Teller,08,119,23350,
,"","","","","",,
157,08CS021,Pueblo,Pueblo,08,101,159063,159063
,"","","","","",,
158,08CS022,Southeast Colorado,Baca,08,009,3788,84724
,"","",Bent,08,011,6499,
,"","",Cheyenne,08,017,1836,
,"","",Conejos,08,021,8256,
,"","",Costilla,08,023,3524,
,"","",Crowley,08,025,5823,
,"","",Huerfano,08,055,6711,
,"","",Kiowa,08,061,1398,
,"","",Las Animas,08,071,15507,
,"","",Otero,08,089,18831,
,"","",Prowers,08,099,12551,
,"","","","","",,
159,08CS023,Southwest Colorado,Alamosa,08,003,15445,55624
,"","",Archuleta,08,007,12084,
,"","",Dolores,08,033,2064,
,"","",Hinsdale,08,053,843,
,"","",Mineral,08,079,712,
,"","",Ouray,08,091,4436,
,"","",Rio Grande,08,105,11982,
,"","",San Juan,08,111,699,
,"","",San Miguel,08,113,7359,
,"","","","","",,
160,08CS024,Weld,Weld,08,123,252825,252825
,"","","","","",,
,"","",Connecticut,"","",,3574097
,"","","","","",,
161,09CS001,Fairfield,Fairfield,09,001,916829,916829
,"","","","","",,
162,09CS002,Hartford,Hartford,09,003,894014,894014
,"","","","","",,
163,09CS003,Litchfield,Litchfield,09,005,189927,189927
,"","","","","",,
164,09CS004,Middlesex,Middlesex,09,007,165676,165676
,"","","","","",,
165,09CS005,New Haven,New Haven,09,009,862477,862477
,"","","","","",,
166,09CS006,New London,New London,09,011,274055,274055
,"","","","","",,
167,09CS007,Tolland,Tolland,09,013,152691,152691
,"","","","","",,
168,09CS008,Windham,Windham,09,015,118428,118428
,"","","","","",,
,"","",Delaware,"","",,897934
,"","","","","",,
169,10CS001,Kent,Kent,10,001,162310,162310
,"","","","","",,
170,10CS002,New Castle,New Castle,10,003,538479,538479
,"","","","","",,
171,10CS003,Sussex,Sussex,10,005,197145,197145
,"","","","","",,
,"","",District of Columbia,"","",,601723
,"","","","","",,
172,11CS001,District of Columbia,District of Columbia,11,001,601723,601723
,"","","","","",,
,"","",Florida,"","",,18801310
,"","","","","",,
173,12CS001,Alachua,Alachua,12,001,247336,247336
,"","","","","",,
174,12CS002,Baker+Bradford+Union,Baker,12,003,27115,71170
,"","",Bradford,12,007,28520,
,"","",Union,12,125,15535,
,"","","","","",,
175,12CS003,Bay,Bay,12,005,168852,168852
,"","","","","",,
176,12CS004,Brevard,Brevard,12,009,543376,543376
,"","","","","",,
177,12CS005,Broward,Broward,12,011,1748066,1748066
,"","","","","",,
178,12CS006,Charlotte,Charlotte,12,015,159978,159978
,"","","","","",,
179,12CS007,Citrus,Citrus,12,017,141236,141236
,"","","","","",,
180,12CS008,Clay,Clay,12,019,190865,190865
,"","","","","",,
181,12CS009,Collier,Collier,12,021,321520,321520
,"","","","","",,
182,12CS010,Columbia,Columbia,12,023,67531,67531
,"","","","","",,
183,12CS011,DeSoto+Hardee,DeSoto,12,027,34862,62593
,"","",Hardee,12,049,27731,
,"","","","","",,
184,12CS012,Dixie+Gilchrist+Levy,Dixie,12,029,16422,74162
,"","",Gilchrist,12,041,16939,
,"","",Levy,12,075,40801,
,"","","","","",,
185,12CS013,Duval,Duval,12,031,864263,864263
,"","","","","",,
186,12CS014,Escambia,Escambia,12,033,297619,297619
,"","","","","",,
187,12CS015,Flagler,Flagler,12,035,95696,95696
,"","","","","",,
188,12CS016,Gadsden+Leon,Gadsden,12,039,46389,321876
,"","",Leon,12,073,275487,
,"","","","","",,
